tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt12247134,tvSeries,Love Ne Mila Di Jodi,Love Ne Mila Di Jodi,0,2009,2010,20,Drama,8.0,110
tt12248706,tvSeries,Súbete a mi Moto,Súbete a mi Moto,0,2020,,,"Biography, Drama, Music",5.8,320
tt12250382,tvMiniSeries,Isolation Stories,Isolation Stories,0,2020,,,Drama,7.0,138
tt12251982,tvSeries,Devi Adi Parashakti,Devi Adi Parashakti,0,2020,2021,20,Fantasy,6.2,109
tt12252462,tvSeries,Black Files Declassified,Black Files Declassified,0,2020,,42,Reality-TV,6.7,114
tt12255758,tvSeries,Revenge Prank with DJ Pauly D & Vinny,Revenge Prank with DJ Pauly D & Vinny,0,2020,2021,30,"Comedy, Reality-TV",5.6,70
tt12256822,tvSeries,Begin Again,Cong Jie Hun Kai Shi Lian Ai,0,2020,,45,"Comedy, Drama, Romance",7.3,536
tt1225790,tvMiniSeries,Boy Meets Girl,Boy Meets Girl,0,2009,2009,60,"Comedy, Drama, Fantasy",6.5,477
tt12258686,tvSeries,Dertigers,Dertigers,0,2020,,24,Drama,7.8,529
tt12258710,tvSeries,Tunna blå linjen,Tunna blå linjen,0,2021,,60,"Crime, Drama",8.0,6014
tt1225872,tvSeries,Mézga Family on Holiday,Vakáción a Mézga-család,0,1980,1980,26,"Adventure, Animation, Comedy",8.3,909
tt12258970,tvSeries,Gary Busey: Pet Judge,Gary Busey: Pet Judge,0,2020,,,Comedy,7.3,218
tt1225901,tvSeries,90210,90210,0,2008,2013,60,"Comedy, Drama, Romance",6.2,46636
tt12259074,tvSeries,Sin,Sin,0,2020,,,"Crime, Drama, Mystery",7.2,77
tt12259216,tvSeries,Family Dinner,Family Dinner,0,2021,,,Reality-TV,8.0,75
tt12259418,tvSeries,Restoration Road,Restoration Road,0,2021,,,Documentary,8.1,124
tt1225958,tvSeries,Os Contemporâneos,Os Contemporâneos,0,2008,,,Comedy,8.0,583
tt12259596,tvSeries,Dr. Ballouz,Dr. Ballouz,0,2021,,,"Comedy, Drama",7.9,101
tt12259836,tvSeries,The Lost Kitchen,The Lost Kitchen,0,2021,,,Reality-TV,8.0,220
tt1226036,tvMiniSeries,G.I. Joe: Operation Dragonfire,G.I. Joe: Operation Dragonfire,0,1989,1989,30,"Action, Adventure, Animation",7.2,139
tt12262154,tvSeries,Dynamo Dream,Dynamo Dream,0,2021,,,"Fantasy, Sci-Fi",8.4,316
tt12262202,tvSeries,The Acolyte,The Acolyte,0,2024,2024,35,"Action, Adventure, Drama",4.2,128939
tt1226281,tvSeries,Schulz & Schulz,Schulz & Schulz,0,1989,1993,,,7.5,45
tt1226282,tvSeries,Wei xian xin ling,Wei xian xin ling,0,2006,2006,,Drama,6.8,563
tt12263720,tvSeries,How to Build,How to Build,0,2020,2021,60,Documentary,8.0,15
tt12264166,tvMiniSeries,Berlin 1945,Berlin 1945: Tagebuch einer Großstadt,0,2020,2020,52,"Documentary, History, War",8.2,350
tt12264402,tvSeries,Making It Home with Kortney & Kenny,Making It Home with Kortney & Kenny,0,2020,,,Reality-TV,6.1,84
tt12264592,tvSeries,Police: Hour of Duty,Police: Hour of Duty,0,2020,2022,60,"Crime, Documentary",6.6,35
tt12265014,tvMiniSeries,DAU. The Empire,DAU. The Empire,0,2020,2020,132,Drama,4.6,27
tt12268838,tvSeries,A Toy Store Near You,A Toy Store Near You,0,2020,,,Reality-TV,6.3,45
tt12269504,tvMiniSeries,Undertaker: The Last Ride,Undertaker: The Last Ride,0,2020,2020,,"Documentary, Sport",8.7,2015
tt12270088,tvSeries,My Name Is Mangamma,My Name Is Mangamma,0,2012,2013,22,Drama,9.2,22
tt12270298,tvMiniSeries,Britain's Lost Battlefields with Rob Bell,Britain's Lost Battlefields with Rob Bell,0,2020,2020,60,"Documentary, History",7.3,22
tt1227046,tvSeries,Shadow Star Narutaru,Narutaru: Mukuro naru hoshi tama taru ko,0,2003,2003,25,"Animation, Drama, Fantasy",6.3,163
tt12273194,tvSeries,Peace! Love! Chewing Gum!,Mir! Druzhba! Zhvachka!,0,2020,,45,"Comedy, Drama, Romance",7.2,744
tt12274220,tvSeries,Soul Mechanic,Fix You,0,2020,,35,"Comedy, Drama, Romance",7.2,221
tt12274782,tvMiniSeries,Diversant 3: Krym,Diversant 3: Krym,0,2020,2020,,"Action, Adventure, War",5.2,90
tt1227637,tvMiniSeries,Impact,Impact,0,2009,2009,94,"Action, Adventure, Drama",5.5,3727
tt12276534,tvSeries,Cinématon,Cinématon,0,1972,,,Documentary,7.2,19
tt1227802,tvSeries,Stewart Lee's Comedy Vehicle,Stewart Lee's Comedy Vehicle,0,2009,2016,30,Comedy,8.7,1791
tt1227926,tvMiniSeries,Dr. Horrible's Sing-Along Blog,Dr. Horrible's Sing-Along Blog,0,2008,2008,42,"Comedy, Musical, Sci-Fi",8.4,44540
tt12279642,tvSeries,Lov3,Lov3,0,2022,2022,30,"Comedy, Drama, Romance",5.8,199
tt12279682,tvSeries,The Vampire Dies in No Time,Kyûketsuki Sugu Shinu,0,2021,,24,"Animation, Comedy, Fantasy",6.7,381
tt12281146,tvSeries,Griff's Great Kiwi Road Trip,Griff's Great Kiwi Road Trip,0,2019,2020,,Documentary,7.4,80
tt12281990,tvSeries,Filthy House SOS,Filthy House SOS,0,2020,2021,60,Documentary,6.8,39
tt12282764,tvSeries,Predator at Large,Predator at Large,0,2020,,42,Crime,7.5,69
tt12285778,tvSeries,Super Cub,Super Cub,0,2021,2021,25,"Adventure, Animation, Drama",7.3,507
tt12286260,tvSeries,Santa Inc.,Santa Inc.,0,2021,2021,30,"Animation, Comedy, Fantasy",1.7,15684
tt12286434,tvSeries,Just Beyond,Just Beyond,0,2021,2021,24,"Comedy, Drama, Fantasy",6.2,2177
tt12286482,tvSeries,Celebrity Watch Party,Celebrity Watch Party,0,2020,2020,,Reality-TV,5.1,154
tt12287656,tvSeries,The Decameron 2020,The Decameron 2020,0,2020,,,,8.0,14
